PSM6 Levenshtein; PSM6 Jaccard; PSM6 Overlap
n1;946;0.23193916349809887;0.6421052631578947
n2;544;0.15675675675675677;0.42028985507246375
n3;503;0;0
n4;1489;0.0912280701754386;0.5652173913043478
n5;2259;0.12;0.6818181818181818
n6;1183;0.15087719298245614;0.5512820512820513
n7;776;0.19889502762430938;0.8
n8;763;0.14056224899598393;0.5737704918032787
n9;3224;0.05725971370143149;0.6829268292682927
n10;631;0.009009009009009009;0.09090909090909091
n11;2453;0.0;0.0
n12;3400;0.03826955074875208;0.42592592592592593
n13;2216;0.14184397163120568;0.625
n14;3219;0.0;0.0
n15;575;0.08839779005524862;0.5517241379310345
n16;4311;0.021170610211706103;0.2698412698412698
n17;771;0.06557377049180328;0.32653061224489793
n18;780;0.11848341232227488;0.5102040816326531
n19;896;0.07723577235772358;0.3584905660377358
n20;2393;0.010810810810810811;0.11764705882352941
n21;162;0.0;0.0
n22;470;0.226890756302521;0.7941176470588235
n23;397;0.0;0.0
n24;460;0.0;0.0
n25;882;0.012461059190031152;0.07017543859649122
n26;516;0.1875;0.6
n27;804;0.27238805970149255;0.6403508771929824
n28;5243;0.0011661807580174927;0.03508771929824561
n29;420;0.1366906474820144;0.4222222222222222
n30;589;0.08163265306122448;0.35555555555555557
n31;371;0.2047244094488189;0.5306122448979592
n32;1276;0.004784688995215311;0.14285714285714285
n33;1037;0.017964071856287425;0.75
n34;1951;0.029535864978902954;0.3684210526315789
n35;196;0.0;0.0
n36;756;0.004830917874396135;0.02702702702702703
n37;815;0.04032258064516129;0.7142857142857143
n38;776;0.024193548387096774;0.42857142857142855
n39;1127;0.057692307692307696;0.7058823529411765
n40;848;0.0;0.0
n41;1705;0.030360531309297913;0.34782608695652173
n42;538;0.2692307692307692;0.6774193548387096
n43;2295;0.0;0.0
n44;865;0.125;0.7428571428571429
n45;757;0.16939890710382513;0.7560975609756098
n46;1514;0.09561752988047809;0.8888888888888888
n47;644;0.18045112781954886;0.96
n48;850;0.24479166666666666;0.7704918032786885
n49;795;0.033707865168539325;0.24
n50;576;0.15873015873015872;0.8
n51;535;0.18269230769230768;0.76
n52;803;0.12571428571428572;0.9166666666666666
n53;684;0.2108843537414966;0.7948717948717948
n54;764;0.17297297297297298;0.7619047619047619
n55;829;0.11904761904761904;0.6451612903225806
n56;874;0.165;0.7857142857142857
n57;615;0.2229299363057325;0.8536585365853658
n58;2844;0.011015911872705019;0.19148936170212766
n59;2230;0.0;0.0
n60;238;0.22950819672131148;0.9333333333333333
n61;2321;0.05161290322580645;0.8571428571428571
n62;850;0.02631578947368421;0.10294117647058823
n63;2105;0.0702576112412178;0.625
n64;1467;0.04276315789473684;0.5
n65;2200;0.03926701570680628;0.7142857142857143
n66;2033;0.028462998102466792;0.4838709677419355
n67;1174;0.049107142857142856;0.6111111111111112
n68;1096;0.07906976744186046;0.68
n69;1009;0.125;0.84375
n70;731;0.03669724770642202;0.08333333333333333
n71;2253;0.07552083333333333;0.58
n72;2354;0.09090909090909091;0.75
n73;4014;0.041474654377880185;0.675
n74;1531;0.007042253521126761;0.13333333333333333
n75;421;0.17647058823529413;0.8823529411764706
n76;478;0.12380952380952381;0.8125
n77;1024;0.08383233532934131;0.6666666666666666
n78;1299;0.102803738317757;0.7586206896551724
n79;2199;0.05642023346303502;0.5576923076923077
n80;1139;0.12844036697247707;0.7567567567567568
n81;1327;0.043478260869565216;0.7692307692307693
n82;1442;0.0931174089068826;0.696969696969697
n83;1623;0.08391608391608392;0.7272727272727273
n84;1469;0.08333333333333333;0.7241379310344828
n85;1548;0.13580246913580246;0.8918918918918919
n86;1033;0.1324200913242009;0.6444444444444445
n87;1047;0.1065989847715736;0.525
n88;1382;0.13580246913580246;0.8048780487804879
n89;1538;0.12867647058823528;0.7608695652173914
n90;170;0.0;0.0
n91;2288;0.01662049861495845;0.35294117647058826
n92;512;0.10989010989010989;0.8333333333333334
n93;4867;0.012903225806451613;0.37037037037037035
n94;2087;0.12692307692307692;0.8461538461538461
n95;2881;0.04504504504504504;0.8
n96;1695;0.0;0.0
n97;1386;0.12017167381974249;0.9032258064516129
n98;156;0.02;0.045454545454545456
n99;1728;0.0812720848056537;0.6216216216216216
n100;1748;0.11808118081180811;0.8421052631578947
v1;238;0.33962264150943394;0.8571428571428571
v2;1693;0.0064516129032258064;0.125
v3;1129;0.023668639053254437;0.4444444444444444
v4;730;0.0;0.0
v5;1565;0.037037037037037035;1.0
v6;1522;0.0657439446366782;0.6333333333333333
v7;3664;0.08901515151515152;0.734375
v8;3628;0.09362549800796813;0.734375
v9;840;0.14093959731543623;0.9130434782608695
v10;528;0.25210084033613445;0.9090909090909091
v11;2753;0.06345733041575492;0.6904761904761905
v12;303;0.0;0.0
