IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;23;25;3;['smilšu mīkla', 'kviešu milti', 'olas', 'margarīns', 'dzīvnieku tauki', 'cūku', 'un augu eļļa', 'rapšu', 'ūdens', 'sāls', 'emulgatori', 'rapšu lecitīns', 'taukskābju mono', 'un diglicerīdi', 'skābuna regulētājs citronskābe', 'aromatizētājs', 'krāsviela beta', 'karotīns', 'cukurs', 'cepamais pulveris', 'irdinātāji e450', 'e500', 'kartupeļu ciete', 'cukurs', 'pārklāts ar olu'];['cukurs', 'var', 'kakas'];4;0;['olas', 'dzīvnieku tauki', 'cūku', 'pārklāts ar olu'];[];0;4;0;[];['olas', 'dzīvnieku tauki', 'cūku', 'pārklāts ar olu'];[]
n2;43;45;3;['rudzu milti', 'margarīns', 'augu eļļas', 'palmu rsp0 s6', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'e322 rapšu', 'e471', 'skābuma regulētājs e330', 'sviesta aromatizētājs', 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu milti', 'miežu iesala ekstrakts', 'pildījums', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma regulētājs e330', 'aromatizētājs', 'garšvielas', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'sausais maisījums', 'sojas milti', 'kviešu ciete', 'irdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kukurūza', 'sāls', 'aromatizētāji', 'vaniļas', 'sviesta'];['cukurs', 'var', 'kakas'];3;0;['sviesta aromatizētājs', 'sūkalu pulveris', 'sviesta'];[];0;3;0;[];['sviesta aromatizētājs', 'sūkalu pulveris', 'sviesta'];[]
n3;34;34;3;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];['cukurs', 'var', 'kakas'];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n4;27;28;3;['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vājpiena pulveris', 'glikozes sīrups', 'glkozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa', 'emulgatori', 'e471', 'e442', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', 'dabīgs vaniļas aromatizētājs', 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni'];['cukurs', 'var', 'kakas'];6;0;['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];[];0;6;0;[];['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];[]
v1;10;10;3;['rehidrēts teksturēts kaņepju proteīns', 'rehidrēti pelēkie zirņi', 'kokosriekstu eļļa', 'kaltēti sīpoli', 'linsēklas', 'sāls', 'biešu pulveris', 'muskatrieksts', 'melnie pipari', 'kaltēti ķiploki'];['cukurs', 'var', 'kakas'];0;0;[];[];0;0;0;[];[];[]
v2;9;9;3;['cukurs', 'kakao masa', 'kakao sviests', 'kakao ar samazinātu tauku saturu', 'emulgatori', 'e322', 'no sojas', 'e476', 'aromatizētājs'];['cukurs', 'var', 'kakas'];0;0;[];[];0;0;0;[];[];[]
v3;44;46;3;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['cukurs', 'var', 'kakas'];8;0;[];[];0;0;0;[];[];[]
v4;31;32;3;['kviešu milti', 'cukurs', 'margarīns', 'augu eļļas', 'rapšu', 'palmu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'rapšu lecitīns', 'taukskābju mono', 'un diglicerīdi', 'skābuma regulētājs', 'citronskābe', 'dabīgs aromatizētājs', 'karamelizēts cukura sīrups', 'dzeramais ūdens', 'garšvielu maisījums', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'cepamais pulveris', 'irdinātāji', 'nātrija karbonāts', 'difosfāti', 'skābuma regulētājs', 'citronskābe'];['cukurs', 'var', 'kakas'];0;0;[];[];0;0;0;[];[];[]
