PSM1 Levenshtein; PSM1 Jaccard; PSM1 Overlap
n1;921;0.25396825396825395;0.6736842105263158
n2;302;0.2283464566929134;0.42028985507246375
n3;503;0;0
n4;424;0;0
n5;2092;0.12396694214876033;0.6818181818181818
n6;1072;0.16796875;0.5512820512820513
n7;732;0.25675675675675674;0.8444444444444444
n8;837;0.13533834586466165;0.5901639344262295
n9;2456;0.002793296089385475;0.024390243902439025
n10;187;0;0
n11;458;0;0
n12;2628;0.046341463414634146;0.35185185185185186
n13;2072;0.15228426395939088;0.625
n14;861;0.050359712230215826;0.7777777777777778
n15;293;0.22784810126582278;0.6206896551724138
n16;2038;0.05370843989769821;0.3333333333333333
n17;461;0.1037037037037037;0.2857142857142857
n18;390;0.17054263565891473;0.4489795918367347
n19;737;0.155;0.5849056603773585
n20;2152;0.012738853503184714;0.11764705882352941
n21;180;0.0;0.0
n22;384;0.2549019607843137;0.7647058823529411
n23;151;0.0;0.0
n24;423;0.0;0.0
n25;390;0.030612244897959183;0.06818181818181818
n26;418;0.2396694214876033;0.6444444444444445
n27;723;0.2979591836734694;0.6403508771929824
n28;463;0.0;0.0
n29;280;0.1956521739130435;0.4
n30;271;0.1686746987951807;0.3111111111111111
n31;366;0.20909090909090908;0.46938775510204084
n32;105;0;0
n33;938;0.022388059701492536;0.75
n34;776;0.05909090909090909;0.34210526315789475
n35;204;0.0;0.0
n36;285;0.0;0.0
n37;729;0.05154639175257732;0.7142857142857143
n38;790;0.045454545454545456;0.8571428571428571
n39;1078;0.09302325581395349;0.9411764705882353
n40;740;0.0;0.0
n41;397;0.0;0.0
n42;535;0.27631578947368424;0.6774193548387096
n43;367;0.0;0.0
n44;374;0.27835051546391754;0.7714285714285715
n45;625;0.2251655629139073;0.8292682926829268
n46;1435;0.11428571428571428;0.8888888888888888
n47;517;0.21568627450980393;0.88
n48;753;0.29375;0.7704918032786885
n49;785;0.09090909090909091;0.56
n50;415;0.13333333333333333;0.48
n51;618;0.1694915254237288;0.8
n52;439;0.26744186046511625;0.9583333333333334
n53;757;0.20408163265306123;0.7692307692307693
n54;613;0.2302158273381295;0.7619047619047619
n55;771;0.15862068965517243;0.7419354838709677
n56;881;0.0;0.0
n57;748;0.2323943661971831;0.8048780487804879
n58;367;0.008264462809917356;0.02127659574468085
n59;297;0;0
n60;237;0.2692307692307692;0.9333333333333333
n61;1539;0.0711864406779661;0.75
n62;599;0.09770114942528736;0.25
n63;1470;0.07446808510638298;0.4375
n64;433;0.07272727272727272;0.3076923076923077
n65;2144;0.0453257790368272;0.7619047619047619
n66;302;0.0;0.0
n67;777;0.0703125;0.5
n68;1003;0.09392265193370165;0.68
n69;257;0.09375;0.1875
n70;1334;0.14244186046511628;0.5104166666666666
n71;421;0;0
n72;2402;0.09455587392550144;0.75
n73;3718;0.05328596802841918;0.75
n74;538;0.14444444444444443;0.8666666666666667
n75;399;0.17073170731707318;0.8235294117647058
n76;421;0.18518518518518517;0.9375
n77;1014;0.07878787878787878;0.6190476190476191
n78;1105;0.11242603550295859;0.6551724137931034
n79;942;0.08189655172413793;0.36538461538461536
n80;762;0.16993464052287582;0.7027027027027027
n81;1294;0.04975124378109453;0.7692307692307693
n82;1499;0.08984375;0.696969696969697
n83;1600;0.08571428571428572;0.7272727272727273
n84;1094;0.10714285714285714;0.7241379310344828
n85;1529;0.13389121338912133;0.8648648648648649
n86;777;0.10714285714285714;0.4666666666666667
n87;902;0.12154696132596685;0.55
n88;635;0.005988023952095809;0.024390243902439025
n89;1357;0.14345991561181434;0.7391304347826086
n90;173;0;0
n91;1768;0.043137254901960784;0.6470588235294118
n92;525;0.11494252873563218;0.8333333333333334
n93;5029;0.012610340479192938;0.37037037037037035
n94;2400;0.11458333333333333;0.8461538461538461
n95;2904;0.04269662921348315;0.76
n96;347;0.0;0.0
n97;1454;0.13488372093023257;0.9354838709677419
n98;187;0;0
n99;1220;0.12755102040816327;0.6756756756756757
n100;1325;0.13551401869158877;0.7631578947368421
v1;249;0.3333333333333333;0.9047619047619048
v2;1561;0.04032258064516129;0.625
v3;1109;0.024539877300613498;0.4444444444444444
v4;476;0;0
v5;1535;0.039603960396039604;1.0
v6;1280;0.08050847457627118;0.6333333333333333
v7;3762;0.08736059479553904;0.734375
v8;3742;0.0916030534351145;0.75
v9;778;0.16279069767441862;0.9130434782608695
v10;509;0.2727272727272727;0.9090909090909091
v11;2379;0.07799442896935933;0.6666666666666666
v12;333;0.0;0.0
v13;2311;0.057803468208092484;0.7142857142857143
v14;400;0.0;0.0
v15;1951;0.047619047619047616;0.7222222222222222
v16;710;0.17419354838709677;0.627906976744186
v17;753;0.18404907975460122;0.6976744186046512
v18;91;0.0;0.0
v19;3189;0.0511727078891258;0.7272727272727273
v20;2119;0.005988023952095809;0.08695652173913043
v21;154;0;0
v22;117;0.44776119402985076;0.6666666666666666
v23;1437;0.11153846153846154;0.6444444444444445
v24;108;0.0;0.0
v25;205;0.01694915254237288;0.0625
v26;399;0.12643678160919541;0.6875
v27;1360;0.04020100502512563;0.7272727272727273
v28;1548;0.04932735426008968;0.7857142857142857
v29;1635;0.04602510460251046;0.7857142857142857
v30;1883;0.03819444444444445;0.7333333333333333
v31;789;0.18627450980392157;0.9047619047619048
v32;1240;0.008021390374331552;0.06976744186046512
v33;611;0.06976744186046512;0.6428571428571429
v34;680;0.20388349514563106;0.9130434782608695
v35;248;0.3142857142857143;0.8461538461538461
v36;798;0.16911764705882354;0.8846153846153846
v37;418;0.2222222222222222;0.7586206896551724
v38;74;0;0
v39;874;0.023255813953488372;0.5
v40;655;0.04938271604938271;0.6666666666666666
v41;965;0.049689440993788817;0.6666666666666666
v42;575;0.14912280701754385;0.8095238095238095
v43;485;0.2;0.8076923076923077
v44;2051;0.01718213058419244;0.8333333333333334
v45;609;0.04040404040404041;1.0
v46;137;0.0;0.0
v47;664;0.09649122807017543;0.6875
v48;1525;0.12015503875968993;0.7045454545454546
v49;541;0.07692307692307693;0.5333333333333333
v50;628;0.125;0.6956521739130435
v51;417;0.08;0.34782608695652173
v52;2280;0.07122507122507123;0.8333333333333334
v53;239;0.1;0.38461538461538464
v54;363;0.2236842105263158;0.6296296296296297
v55;242;0.02631578947368421;0.058823529411764705
v56;293;0.0;0.0
v57;576;0.0625;0.8333333333333334
v58;854;0.064;0.5333333333333333
v59;239;0.26666666666666666;0.6956521739130435
v60;77;0.5161290322580645;0.8
v61;383;0.023809523809523808;0.05454545454545454
v62;995;0.12442396313364056;0.4909090909090909
v63;95;0.0;0.0
v64;590;0.017543859649122806;0.2
v65;144;0.058823529411764705;0.18181818181818182
v66;99;0.0;0.0
v67;58;0;0
v68;823;0.023809523809523808;0.5
v69;402;0.0;0.0
v70;36;0.42857142857142855;1.0
v71;744;0.0;0.0
v72;639;0.17647058823529413;0.8
v73;625;0.13114754098360656;0.8888888888888888
v74;521;0.19166666666666668;0.92
v75;515;0.13709677419354838;0.5666666666666667
v76;177;0.14754098360655737;0.3333333333333333
v77;124;0;0
v78;2168;0.010752688172043012;0.4
v79;128;0.0;0.0
v80;1046;0.07643312101910828;0.6666666666666666
v81;588;0.09482758620689655;0.6875
v82;1069;0.08771929824561403;0.75
v83;132;0.0;0.0
v84;137;0.0;0.0
v85;1450;0.0625;0.8
v86;61;0.0;0.0
v87;2169;0.07219251336898395;0.9
v88;100;0.0;0.0
v89;616;0.05263157894736842;0.5
v90;301;0;0
v91;707;0.04225352112676056;0.6
v92;927;0.00625;0.07692307692307693
v93;558;0.21904761904761905;0.8214285714285714
v94;320;0;0
v95;2113;0.07936507936507936;0.6944444444444444
v96;689;0.014492753623188406;0.1111111111111111
v97;1358;0.09345794392523364;0.6896551724137931
v98;1134;0.14201183431952663;0.8275862068965517
v99;261;0.0;0.0
v100;958;0.1568627450980392;0.7741935483870968
