ID;PSM1 Lev;PSM1 Jac;PSM1 Ove;PSM3 Lev;PSM3 Jac;PSM3 Ove;PSM6 Lev;PSM6 Jac;PSM6 Ove;PSM11 Lev;PSM11 Jac;PSM11 Ove;PSM12 Lev;PSM12 Jac;PSM12 Ove
n99;1220;0.12755102040816327;0.6756756756756757;1220;0.12755102040816327;0.6756756756756757;1728;0.0812720848056537;0.6216216216216216;1749;0.08571428571428572;0.6486486486486487;1745;0.08602150537634409;0.6486486486486487
n100;1325;0.13551401869158877;0.7631578947368421;1325;0.13551401869158877;0.7631578947368421;1748;0.11808118081180811;0.8421052631578947;1613;0.11155378486055777;0.7368421052631579;1608;0.112;0.7368421052631579
v1;249;0.3333333333333333;0.9047619047619048;249;0.3333333333333333;0.9047619047619048;238;0.33962264150943394;0.8571428571428571;247;0.3333333333333333;0.9047619047619048;241;0.3392857142857143;0.9047619047619048
v2;1561;0.04032258064516129;0.625;1561;0.04032258064516129;0.625;1693;0.0064516129032258064;0.125;2300;0.027624309392265192;0.625;2305;0.027548209366391185;0.625
v3;1109;0.024539877300613498;0.4444444444444444;1109;0.024539877300613498;0.4444444444444444;1129;0.023668639053254437;0.4444444444444444;1165;0.024691358024691357;0.4444444444444444;1114;0.025477707006369428;0.4444444444444444
v4;476;0;0;463;0.0;0.0;730;0.0;0.0;457;0.0;0.0;422;0.0;0.0
v5;1535;0.039603960396039604;1.0;1535;0.039603960396039604;1.0;1565;0.037037037037037035;1.0;1599;0.037914691943127965;1.0;1599;0.037914691943127965;1.0
v6;1280;0.08050847457627118;0.6333333333333333;1280;0.08050847457627118;0.6333333333333333;1522;0.0657439446366782;0.6333333333333333;1418;0.061068702290076333;0.5333333333333333;1413;0.06177606177606178;0.5333333333333333
v7;3762;0.08736059479553904;0.734375;3762;0.08736059479553904;0.734375;3664;0.08901515151515152;0.734375;3842;0.08545454545454545;0.734375;3849;0.08514492753623189;0.734375
v8;3742;0.0916030534351145;0.75;3742;0.0916030534351145;0.75;3628;0.09362549800796813;0.734375;3791;0.08955223880597014;0.75;3791;0.08955223880597014;0.75
v9;778;0.16279069767441862;0.9130434782608695;778;0.16279069767441862;0.9130434782608695;840;0.14093959731543623;0.9130434782608695;810;0.15151515151515152;0.8695652173913043;770;0.16;0.8695652173913043
v10;509;0.2727272727272727;0.9090909090909091;509;0.2727272727272727;0.9090909090909091;528;0.25210084033613445;0.9090909090909091;537;0.26548672566371684;0.9090909090909091;528;0.27522935779816515;0.9090909090909091
v11;2379;0.07799442896935933;0.6666666666666666;2379;0.07799442896935933;0.6666666666666666;2753;0.06345733041575492;0.6904761904761905;2717;0.07881773399014778;0.7619047619047619;2719;0.07823960880195599;0.7619047619047619
v12;333;0.0;0.0;333;0.0;0.0;303;0.0;0.0;318;0.0;0.0;313;0.0;0.0
v13;2311;0.057803468208092484;0.7142857142857143;2311;0.057803468208092484;0.7142857142857143;2322;0.04392764857881137;0.6071428571428571;2463;0.05093833780160858;0.6785714285714286;2470;0.05080213903743316;0.6785714285714286
v14;400;0.0;0.0;400;0.0;0.0;553;0.009708737864077669;0.043478260869565216;361;0.0;0.0;365;0.0;0.0
v15;1951;0.047619047619047616;0.7222222222222222;1951;0.047619047619047616;0.7222222222222222;2102;0.045454545454545456;0.7777777777777778;1978;0.04693140794223827;0.7222222222222222;1998;0.046263345195729534;0.7222222222222222
v16;710;0.17419354838709677;0.627906976744186;710;0.17419354838709677;0.627906976744186;739;0.14917127071823205;0.627906976744186;789;0.1657754010695187;0.7209302325581395;815;0.16230366492146597;0.7209302325581395
v17;753;0.18404907975460122;0.6976744186046512;753;0.18404907975460122;0.6976744186046512;990;0.12658227848101267;0.6976744186046512;930;0.15841584158415842;0.7441860465116279;967;0.14883720930232558;0.7441860465116279
v18;91;0.0;0.0;91;0.0;0.0;4423;0.0;0.0;1830;0.0;0.0;1686;0.0;0.0
v19;3189;0.0511727078891258;0.7272727272727273;3189;0.0511727078891258;0.7272727272727273;3491;0.04240282685512368;0.7272727272727273;3368;0.047244094488188976;0.7272727272727273;3364;0.047337278106508875;0.7272727272727273
v20;2119;0.005988023952095809;0.08695652173913043;2119;0.005988023952095809;0.08695652173913043;2461;0.0045045045045045045;0.08695652173913043;2165;0.005917159763313609;0.08695652173913043;2185;0.005865102639296188;0.08695652173913043
v21;154;0;0;154;0;0;3218;0.0;0.0;939;0.0;0.0;859;0.0;0.0
v22;117;0.44776119402985076;0.6666666666666666;117;0.44776119402985076;0.6666666666666666;115;0.42857142857142855;0.6666666666666666;120;0.47761194029850745;0.7111111111111111;120;0.47761194029850745;0.7111111111111111
v23;1437;0.11153846153846154;0.6444444444444445;1437;0.11153846153846154;0.6444444444444445;1881;0.08547008547008547;0.6666666666666666;1836;0.08011869436201781;0.6;1822;0.08035714285714286;0.6
v24;108;0.0;0.0;108;0.0;0.0;388;0.0;0.0;217;0.0;0.0;229;0.0;0.0
v25;205;0.01694915254237288;0.0625;205;0.01694915254237288;0.0625;552;0.02666666666666667;0.25;413;0.04081632653061224;0.25;392;0.054945054945054944;0.3125
v26;399;0.12643678160919541;0.6875;399;0.12643678160919541;0.6875;761;0.058823529411764705;0.6875;532;0.10619469026548672;0.75;529;0.10810810810810811;0.75
v27;1360;0.04020100502512563;0.7272727272727273;1360;0.04020100502512563;0.7272727272727273;1539;0.0326530612244898;0.7272727272727273;1404;0.03902439024390244;0.7272727272727273;1392;0.03940886699507389;0.7272727272727273
v28;1548;0.04932735426008968;0.7857142857142857;1548;0.04932735426008968;0.7857142857142857;1628;0.044897959183673466;0.7857142857142857;1540;0.048672566371681415;0.7857142857142857;1552;0.05286343612334802;0.8571428571428571
v29;1635;0.04602510460251046;0.7857142857142857;1635;0.04602510460251046;0.7857142857142857;1680;0.044715447154471545;0.7857142857142857;1627;0.04721030042918455;0.7857142857142857;1630;0.04700854700854701;0.7857142857142857
v30;1883;0.03819444444444445;0.7333333333333333;1883;0.03819444444444445;0.7333333333333333;1853;0.03767123287671233;0.7333333333333333;1958;0.03355704697986577;0.6666666666666666;1961;0.033444816053511704;0.6666666666666666
v31;789;0.18627450980392157;0.9047619047619048;789;0.18627450980392157;0.9047619047619048;786;0.1743119266055046;0.9047619047619048;789;0.1565217391304348;0.8571428571428571;789;0.1565217391304348;0.8571428571428571
v32;1240;0.008021390374331552;0.06976744186046512;1742;0.021917808219178082;0.18604651162790697;2812;0.0106544901065449;0.16279069767441862;4080;0.006659267480577136;0.13953488372093023;3676;0.007416563658838072;0.13953488372093023
v33;611;0.06976744186046512;0.6428571428571429;611;0.06976744186046512;0.6428571428571429;603;0.0703125;0.6428571428571429;562;0.09;0.6428571428571429;576;0.08823529411764706;0.6428571428571429
v34;680;0.20388349514563106;0.9130434782608695;680;0.20388349514563106;0.9130434782608695;1609;0.0842911877394636;0.9565217391304348;1613;0.08641975308641975;0.9130434782608695;1626;0.08571428571428572;0.9130434782608695
v35;248;0.3142857142857143;0.8461538461538461;248;0.3142857142857143;0.8461538461538461;534;0.10884353741496598;0.6153846153846154;489;0.1810344827586207;0.8076923076923077;457;0.21568627450980393;0.8461538461538461
v36;798;0.16911764705882354;0.8846153846153846;798;0.16911764705882354;0.8846153846153846;761;0.17424242424242425;0.8846153846153846;819;0.16911764705882354;0.8846153846153846;814;0.17164179104477612;0.8846153846153846
v37;418;0.2222222222222222;0.7586206896551724;418;0.2222222222222222;0.7586206896551724;553;0.14583333333333334;0.7241379310344828;485;0.18867924528301888;0.6896551724137931;464;0.19607843137254902;0.6896551724137931
v38;74;0;0;74;0;0;1786;0.0;0.0;608;0.0;0.0;598;0.0;0.0
v39;874;0.023255813953488372;0.5;874;0.023255813953488372;0.5;1027;0.023809523809523808;0.6666666666666666;894;0.03225806451612903;0.6666666666666666;897;0.032;0.6666666666666666
v40;655;0.04938271604938271;0.6666666666666666;655;0.04938271604938271;0.6666666666666666;627;0.044444444444444446;0.6666666666666666;697;0.045454545454545456;0.6666666666666666;702;0.044444444444444446;0.6666666666666666
v41;965;0.049689440993788817;0.6666666666666666;965;0.049689440993788817;0.6666666666666666;1126;0.03902439024390244;0.6666666666666666;1109;0.052941176470588235;0.75;1134;0.05202312138728324;0.75
v42;575;0.14912280701754385;0.8095238095238095;575;0.14912280701754385;0.8095238095238095;523;0.16831683168316833;0.8095238095238095;555;0.14953271028037382;0.7619047619047619;588;0.14035087719298245;0.7619047619047619
v43;485;0.2;0.8076923076923077;485;0.2;0.8076923076923077;521;0.1891891891891892;0.8076923076923077;524;0.1926605504587156;0.8076923076923077;528;0.19090909090909092;0.8076923076923077
v44;2051;0.01718213058419244;0.8333333333333334;2051;0.01718213058419244;0.8333333333333334;2133;0.016286644951140065;0.8333333333333334;2209;0.015822784810126583;0.8333333333333334;2252;0.009009009009009009;0.5
v45;609;0.04040404040404041;1.0;609;0.04040404040404041;1.0;1013;0.01818181818181818;0.75;781;0.007518796992481203;0.25;802;0.007407407407407408;0.25
v46;137;0.0;0.0;137;0.0;0.0;1103;0.050761421319796954;0.625;1051;0.018867924528301886;0.25;994;0.015306122448979591;0.1875
v47;664;0.09649122807017543;0.6875;664;0.09649122807017543;0.6875;896;0.06802721088435375;0.625;854;0.07142857142857142;0.625;841;0.07462686567164178;0.625
