IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;23;25;80;['smilšu mīkla', 'kviešu milti', 'olas', 'margarīns', 'dzīvnieku tauki', 'cūku', 'un augu eļļa', 'rapšu', 'ūdens', 'sāls', 'emulgatori', 'rapšu lecitīns', 'taukskābju mono', 'un diglicerīdi', 'skābuna regulētājs citronskābe', 'aromatizētājs', 'krāsviela beta', 'karotīns', 'cukurs', 'cepamais pulveris', 'irdinātāji e450', 'e500', 'kartupeļu ciete', 'cukurs', 'pārklāts ar olu'];['saldējumam sauce and milk chocolai', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes ž sausās siera sūkalas', 'saldais krējums', 'emulgators cream', 'milk', 'sugar', 'butter', 'taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'paar sveķi', 'karagināns', 'sausais mono and dr iaake of fatty acida vaka dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao masa', 'skimmed mil powder', 'natural flpilnpiena pulveris', 'piena tauki', 'emulgaiai', 'sojas lecitīni', 'e476', 'dabīgs aromaiee jāj', 'sastāvdaļas butter', 'cocoa mass', 'whole milk poaveņu', 'granātābolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrats favouring', 'raspberry', 'pomegranate', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'bieznātāj', 'ksantāna sveķi', 'baltās pomegranate juice concentrate', 'akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'thickener', 'xanthan gum', "locust be' cukurs", 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni', 'var', 'coconut', 'rapeseed', 'sugar', 'fat reduzemesriekstu', 'riekstu', 'olu daļiņas', 'uzglabāšanas ritot ne rate kā', '18” c', 'ražošanas datums of guren', 'peanut', 'nuts and e99un izlietot līdz', 'skatīt uz iepakojuma sāna', 'ražotājs', 'as „ īgas piena kombināts” bauskas iela 180', 'rīga', 'and best before date', 'see on 1hlv', '1004', 'latvija', 'bezmaksas tālrunis atsauksmēm', '+371 80001110', 'kombināts”', 'bauskas street 180', 'ri4 j bd fm ds'];4;8;['olas', 'dzīvnieku tauki', 'cūku', 'pārklāts ar olu'];['piens', 'sviests', 'glikozes ž sausās siera sūkalas', 'saldais krējums', 'sastāvdaļas piena šokolādei', 'piena tauki', 'olu daļiņas', 'as „ īgas piena kombināts” bauskas iela 180'];0;4;8;[];['olas', 'dzīvnieku tauki', 'cūku', 'pārklāts ar olu'];['piens', 'sviests', 'glikozes ž sausās siera sūkalas', 'saldais krējums', 'sastāvdaļas piena šokolādei', 'piena tauki', 'olu daļiņas', 'as „ īgas piena kombināts” bauskas iela 180']
n2;43;45;56;['rudzu milti', 'margarīns', 'augu eļļas', 'palmu rsp0 s6', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'e322 rapšu', 'e471', 'skābuma regulētājs e330', 'sviesta aromatizētājs', 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu milti', 'miežu iesala ekstrakts', 'pildījums', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma regulētājs e330', 'aromatizētājs', 'garšvielas', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'sausais maisījums', 'sojas milti', 'kviešu ciete', 'irdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kukurūza', 'sāls', 'aromatizētāji', 'vaniļas', 'sviesta'];['rudzu saiti', 'kl', 'margarīns', 'augu eļļas', 'palmu rsp0 86 rapšu', 'informācija par uzturvērtību', '| 100 g produkta satuiūdens', 'gārtikas sēls', 'emulgatori', 'e322 rapšu', 'e41', 'skābuma regulēlējs e330', 'sviesta', "kas mam a s ts jogas a eā kat'āromatizētājs", 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu smilti miežu iesēla', 'enerģētiskā vērtība 1 usa aekstrakts', 'ii', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābumā', 'rēgutētājs? e390 * tauki', 'tostarp', 'ņ 2309 f=>', 'aromatiratājs', 'garšvielas', 'kanēlis', 'krustnagijas', 'muskatrieksts', 'smaržīgie pipari', 'verttati gain"', 'loījandts', 'inovers', 'melnie pipari kardarmans', 'sausais melsjums', 'sojas ml kviešu | piesātinātās taukskābes — | 1 tva2 š viete', 'ārdinātāji', '£500', 'e450', 'sūkalu pulveris', 'dekstoze', 'kvieši kūķirūza', 'sāls > ogļhidrāti', 'tostarp', 'er tkeitkā ui era ei i t c"2771 var saturētolu', 'zemesriekstu', 'riekstu', 'sulfītu', 'st ialijas', 's', 'm rata vaka si naks a a amia ta o eeekeiik', '590', 'ftotājiem ss ietdu sanes rtu riti s isam em truozum'];3;3;['sviesta aromatizētājs', 'sūkalu pulveris', 'sviesta'];['sviesta', 'sūkalu pulveris', '| 100 g produkta satuiūdens'];2;1;1;['sviesta', 'sūkalu pulveris'];['sviesta aromatizētājs'];['| 100 g produkta satuiūdens']
n3;34;34;0;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];[];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n4;27;28;63;['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vājpiena pulveris', 'glikozes sīrups', 'glkozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa', 'emulgatori', 'e471', 'e442', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', 'dabīgs vaniļas aromatizētājs', 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni'];['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vajpiena piem o7 es adalami', 'sktadnīki', 'sīrups', 'glikozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa"', 'emulgatori', 'e471', 'eau še osie mleko w proszku', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', "dadīgi vaakakaowa'", "emulgatory vaniļas aromatizētājs'", 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni', 'var', 'nesalī magn', 'naturedinyaromat ipeki', '"rainforest alliance sertificēts', 'ra', 'org', 'uzglabāf temperatūrā ne augstākā par', '18 "c', 'deleia sie ve u ājvenom', 'vetjowane beigām', 'skat', 'uz iepakojuma', 'kā jāātis madagaskarilt pārit vaniljega', 'kaetud pilmašokošāa', '28t ma j> ieļenie spēt jzed manditega', 'koostsosed', 'ieastatud loss', 'sunkur', "kakaorasv'", 'kookosrasv', 'mandlid', 'te', 'ulbē mr m aiem saieta ikonu', 'dilkaasimuktaosisīrus nonoli', 'vdekuņuloer', 'pim', 'kakaom rrn ppāū pieno sikeīgi maa autoru', 'guarkummi', 'karmageen aa glieenis maita pimaga', 'pn s7 u feni "waba', 'rrr nianee m aāā ku iii', 'm 2', "en4 i ma ū — — k ' og 9"];6;9;['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];['atjaunots vājpiens', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'vajpiena piem o7 es adalami', 'ar pienu', 'ar pienu', 'kakaom rrn ppāū pieno sikeīgi maa autoru', 'kakaom rrn ppāū pieno sikeīgi maa autoru'];6;1;3;['atjaunots vājpiens', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu', 'ar pienu'];['vājpiena pulveris'];['vajpiena piem o7 es adalami', 'kakaom rrn ppāū pieno sikeīgi maa autoru', 'kakaom rrn ppāū pieno sikeīgi maa autoru']
v1;10;10;18;['rehidrēts teksturēts kaņepju proteīns', 'rehidrēti pelēkie zirņi', 'kokosriekstu eļļa', 'kaltēti sīpoli', 'linsēklas', 'sāls', 'biešu pulveris', 'muskatrieksts', 'melnie pipari', 'kaltēti ķiploki'];['rehidrēts teksturēts kaņepju proteīns', 'rehidrēti pelēkie zirņi', 'kokosriekstu eļļa', 'kaltēti sīpoli', 'sēklas', 'sāls', 'biešu pulveris', 'muskatrieksts', 'melnie pipari', 'kaltēti ķiploki', 'uzglabāt saldētavā', '18?c', 'atlaidinātu uzglabāt ledusskapī', '+c', '+c līdz 3 dienām', 'a jawww', 'veggycrush', 'eu | +371 27088881 jražots pēc sia milzu! pasūtijuma'];0;0;[];[];0;0;0;[];[];[]
v2;9;9;57;['cukurs', 'kakao masa', 'kakao sviests', 'kakao ar samazinātu tauku saturu', 'emulgatori', 'e322', 'no sojas', 'e476', 'aromatizētājs'];['etb tume šokolaad', 'kakao sisaldus vāhemalt sū', 'koastibosad', 'suku kekarma ī c a piza ttt a apirna', 'gluteeni sisaldavate terevi vista „kodstisosad', '*', 'suhiku!', 'kakaomass', 'kakaovēj vāfiendatud rasvasisaldusega kakaopilber a ba e322 soi āā n = waas/hapņed 170g sūsveskud540g miles suhkrud430g kiudāredē5g valgudē', '1g 40" odlg pad redumislāne teave 100 g', 'mmerojadgads e15804 s5 kakas p0 atkakaomassi', 'oi pāritolu', 'kbiaļ 99 vaigus 6', '9', "500'001g", 'parim enne lēppu', '/ lot', 'vaat lt hoida kurie i att ira', '«7d mi est kulfastta ma m ik ja tmi', 'kīner varmam jarm 52', 'kakao ar samazināt ā n „hesi', 'n eestis', '+sia eiep rom', 'dabdampeisla sir? — 190 spobikauumētizeneiidē ea? 045 3 kaļ aka ņ — piesāttitīka km', 'ieksunkākaosiessirnots kaka pupmasimokasūmarīus ts eootāslani iepretim', '* „skatīt uz iepakojuma', 'uzglabāt sausā vēsā vietā', 'ražots polijā pēc īnaša rim ra 1704 ogļhidrātidumeršanu = cr "', 'ilatvia', 'a', '18', 'rīga', 'lv', '1021', 'bezmaksas tālrunis atsauksmēm! atvijā ņlija pēc | ašarīmi pasūtījuma kale āsausuju medžiagu a tu kakacisiestās liesika os mikelai igaunis atsauksmēm latvijā', '90000 180 tā! i kiokohtā', 'ana 4', 'vi wer am tus ikeā', 'y dl', 'ceni', '« vi uodasisa i mrenengo att or', 'ls vari tae maaca rr kalau aja «4 "9 0s! gbe j lot', 'žiūrēti a palu 7', 'iskunujso alu rūgšči  sumdēi "t ir kakavos sviestas yra 1s 5 \'kakavos pupelēs yra is nē es šaliu', 'platintojas lietuvoje', 'uab „rimi lietuva” rr 50 irvesioje vietoje', 'pagaminta lenkjoj „i | nati "c tēmai blā uokomaj', 'tīpovakse+0 8 tomo je 0 team 3282', 'rmi koka0', '0cca m kkīo memo ub ec kēka0 606 varpa nemokamas kienty aptēmavimo centros', "'soola sisaldu", 'tuleneb ainu 00di skiku naatriumfesinem nisest', '/ sāls saturs ir tikai dabīgā nātrija klātbūtnes rezultāts', '/druskos kieki nuleriarik', 'āip he bxonalļmx b ec', '8m a', 'j ā ā — +4 ž'];0;6;[];['gluteeni sisaldavate terevi vista „kodstisosad', 'suku kekarma ī c a piza ttt a apirna', '1g 40" odlg pad redumislāne teave 100 g', 'iskunujso alu rūgšči  sumdēi "t ir kakavos sviestas yra 1s 5 \'kakavos pupelēs yra is nē es šaliu', 'iskunujso alu rūgšči  sumdēi "t ir kakavos sviestas yra 1s 5 \'kakavos pupelēs yra is nē es šaliu', 'iskunujso alu rūgšči  sumdēi "t ir kakavos sviestas yra 1s 5 \'kakavos pupelēs yra is nē es šaliu'];0;0;6;[];[];['gluteeni sisaldavate terevi vista „kodstisosad', 'suku kekarma ī c a piza ttt a apirna', '1g 40" odlg pad redumislāne teave 100 g', 'iskunujso alu rūgšči  sumdēi "t ir kakavos sviestas yra 1s 5 \'kakavos pupelēs yra is nē es šaliu', 'iskunujso alu rūgšči  sumdēi "t ir kakavos sviestas yra 1s 5 \'kakavos pupelēs yra is nē es šaliu', 'iskunujso alu rūgšči  sumdēi "t ir kakavos sviestas yra 1s 5 \'kakavos pupelēs yra is nē es šaliu']
v3;44;46;39;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['| uzturvērtība 100 g produkta/ a" artupelu | 100r npopykta coņepmat/„i | 100 g produkto maistineē verte/mans | usā vietā', 'c līdz +18 | toitumisalane teave 100 g toote kohta', '” kinokba b caxaphom nv api enerģētiskā vērtība /4 cocras', 'kniokba', 'caxaphas nynpa', 'jhepretmueckaa lļehhoctb /kaprobenbhbili kpaxman', 'boga', 'energinē vertē / 949', '124', 'ts /nipomasopureno / xpahmtb b cyx0m', 'npoxnaahom mecte ot +3"c po +187c', 'energia', '227', '17 kcalmintojas / tootja', 'spanguoles cukraus pudroje tauki /kupbi /riebaly /rasvad', '0', '019sia "vladas sp" sudedamosios dalys', 'spanguoles', 'cukraus pudra tostarp piesātinātās taukskābes /kavas iela 1302', 'rīga', 'bulviu krakmolas', 'geriamasis vanduo', '43 kotoppbix hacblllļchhblclakss', '+37167144499', 'laikyti sausoje vietoje', 'nuo +3"ciki +18 c temperatūroje', 'kanu sotruluriebalu rūgščiu /latvija', 'a', 'a jmnankima es ” johvikad tuhksuhkrus ais millest kullastunud rasvhapped', '0gbildi a koostis', 'jēhvikad', 'tuhksuhkur', 'kartulitārklis — —', 'a', 'joogivesi', 'ogļhidrāti /yrnebonbl/vert', 'latvija hoida kuivas kohas temperatuuril +37', '+1870 a ang a tan ttoodetud lāti neto daudzi rti=', 'mm t'];8;2;[];['| uzturvērtība 100 g produkta/ a" artupelu | 100r npopykta coņepmat/„i | 100 g produkto maistineē verte/mans | usā vietā', 'c līdz +18 | toitumisalane teave 100 g toote kohta'];0;0;2;[];[];['| uzturvērtība 100 g produkta/ a" artupelu | 100r npopykta coņepmat/„i | 100 g produkto maistineē verte/mans | usā vietā', 'c līdz +18 | toitumisalane teave 100 g toote kohta']
v4;31;32;33;['kviešu milti', 'cukurs', 'margarīns', 'augu eļļas', 'rapšu', 'palmu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'rapšu lecitīns', 'taukskābju mono', 'un diglicerīdi', 'skābuma regulētājs', 'citronskābe', 'dabīgs aromatizētājs', 'karamelizēts cukura sīrups', 'dzeramais ūdens', 'garšvielu maisījums', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'cepamais pulveris', 'irdinātāji', 'nātrija karbonāts', 'difosfāti', 'skābuma regulētājs', 'citronskābe'];['aaa a a a s — "nepoa go s po', 'i ————nmn——', 'ooi* ā d \' e461" 41 "ā', "ā '", '|! a1', "ju a| ' '", 'ņ', 'pa» 3', 'ā |44 141', '4 iid', '4d a datalijjas e35124 4 ee "1445 jju abu 189', 'jurm 11 1649', 'sos a', 'nešu mu iks ma oa inns iau01 118 s irāns', '| ši srmmuigsatear mē', 'artīnc tube', 'a ā š| 4', 'l 2 = ramulātavt etbri vzhor dahīo', 'cpu sit j a 15 «39114nm', 'āā', '611 histnāvinaās mūs ka t ieksu', 'cc mmoainie 5” 1147', 'm " a ķi', "_ j ' s ipiu ij", 'ģ', 'ā e oļu ik0 pas i namr vv g ihi mzzmātjā ls lšba mi edu vl llu kggākālclllllal o ab lol —', 'lk šllklšš  voeeeoioa tuga ss 66860000 — sll auāuawmwmwe', 'eaei ooi aa ss ss iaaooooga', 'co e asas šoka aa a— kā m aa aaa pe _ lluollssuņ= a m klļuuoos', 'ura lgal', 'umukururru a ie aaa ara lu lus—aukk u tu s ger ssr', '” lg oulu m — — a le moeuugaema', 'lskpi a r "e ses am m a aaa'];0;5;[];['aaa a a a s — "nepoa go s po', 'ā e oļu ik0 pas i namr vv g ihi mzzmātjā ls lšba mi edu vl llu kggākālclllllal o ab lol —', 'ā e oļu ik0 pas i namr vv g ihi mzzmātjā ls lšba mi edu vl llu kggākālclllllal o ab lol —', 'umukururru a ie aaa ara lu lus—aukk u tu s ger ssr', '” lg oulu m — — a le moeuugaema'];0;0;5;[];[];['aaa a a a s — "nepoa go s po', 'ā e oļu ik0 pas i namr vv g ihi mzzmātjā ls lšba mi edu vl llu kggākālclllllal o ab lol —', 'ā e oļu ik0 pas i namr vv g ihi mzzmātjā ls lšba mi edu vl llu kggākālclllllal o ab lol —', 'umukururru a ie aaa ara lu lus—aukk u tu s ger ssr', '” lg oulu m — — a le moeuugaema']
