PSM11 Levenshtein; PSM11 Jaccard; PSM11 Overlap
n1;1013;0.1986062717770035;0.6
n2;432;0.19607843137254902;0.43478260869565216
n3;502;0;0
n4;1241;0.09716599190283401;0.5217391304347826
n5;2118;0.12096774193548387;0.6818181818181818
n6;1110;0.16602316602316602;0.5512820512820513
n7;824;0.22560975609756098;0.8222222222222222
n8;746;0.18226600985221675;0.6065573770491803
n9;3561;0.06526315789473684;0.7560975609756098
n10;167;0.03125;0.09090909090909091
n11;917;0.0;0.0
n12;2970;0.05161290322580645;0.4444444444444444
n13;2577;0.12742980561555076;0.6145833333333334
n14;3350;0.010385756676557863;0.7777777777777778
n15;384;0.17;0.5862068965517241
n16;4890;0.03259452411994785;0.3968253968253968
n17;764;0.09405940594059406;0.3877551020408163
n18;984;0.09913793103448276;0.46938775510204084
n19;850;0.14553990610328638;0.5849056603773585
n20;2481;0.0110803324099723;0.11764705882352941
n21;169;0.0;0.0
n22;470;0.23809523809523808;0.7352941176470589
n23;239;0.0;0.0
n24;429;0.0;0.0
n25;397;0.04032258064516129;0.08771929824561403
n26;451;0.23770491803278687;0.6444444444444445
n27;739;0.2967479674796748;0.6403508771929824
n28;2769;0.00395778364116095;0.05263157894736842
n29;382;0.10084033613445378;0.26666666666666666
n30;537;0.08227848101265822;0.28888888888888886
n31;447;0.16666666666666666;0.42857142857142855
n32;479;0.0072992700729927005;0.07142857142857142
n33;1013;0.02877697841726619;1.0
n34;1299;0.028662420382165606;0.23684210526315788
n35;199;0.0;0.0
n36;292;0.0;0.0
n37;730;0.041237113402061855;0.5714285714285714
n38;787;0.04065040650406504;0.7142857142857143
n39;1147;0.08333333333333333;0.8823529411764706
n40;824;0.006172839506172839;0.02631578947368421
n41;1412;0.0049382716049382715;0.043478260869565216
n42;564;0.267515923566879;0.6774193548387096
n43;1135;0.0;0.0
n44;763;0.14545454545454545;0.6857142857142857
n45;667;0.20915032679738563;0.7804878048780488
n46;1597;0.1091703056768559;0.9259259259259259
n47;665;0.1640625;0.84
n48;814;0.23369565217391305;0.7049180327868853
n49;954;0.08333333333333333;0.6
n50;533;0.17592592592592593;0.76
n51;629;0.15966386554621848;0.76
n52;848;0.13043478260869565;0.875
n53;871;0.13756613756613756;0.6666666666666666
n54;935;0.14418604651162792;0.7380952380952381
n55;825;0.12738853503184713;0.6451612903225806
n56;796;0.19337016574585636;0.8333333333333334
n57;699;0.19047619047619047;0.6829268292682927
n58;1256;0.01694915254237288;0.1276595744680851
n59;872;0.0;0.0
n60;151;0.4375;0.9333333333333333
n61;1733;0.06325301204819277;0.75
n62;786;0.17326732673267325;0.5147058823529411
n63;2127;0.05569620253164557;0.4583333333333333
n64;679;0.03067484662576687;0.19230769230769232
n65;2009;0.05460750853242321;0.7619047619047619
n66;1068;0.02390438247011952;0.1935483870967742
n67;980;0.0;0.0
n68;1240;0.07456140350877193;0.68
n69;964;0.078125;0.46875
n70;1423;0.1452991452991453;0.53125
n71;2588;0.07177033492822966;0.6
n72;2796;0.07783018867924528;0.75
n73;4205;0.049019607843137254;0.75
n74;691;0.08527131782945736;0.7333333333333333
n75;486;0.1262135922330097;0.7647058823529411
n76;489;0.15789473684210525;0.9375
n77;934;0.07894736842105263;0.5714285714285714
n78;1225;0.08247422680412371;0.5517241379310345
n79;1248;0.01529051987767584;0.09615384615384616
