IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n21;16;16;94;['kviešu milti', 'cukurs', 'palmu eļļa', 'ūdens', 'glikozes', 'fruktozes sīrups', 'iebiezināts piens ar cukuru', 'piens', 'cukurs', 'emulgators e322', 'sojas', 'sāls', 'irdinātāji', 'e503', 'e500', 'aromatizētājs'];[': kviešu milti, līs games , ma, ūdens, glikozes -muktozes sirups, iebiezināts piens ar cukuru 07% piens, cukurs}, =\n-: tors e322 {sojas sāls, irdinātāji: e303, e500, aromatizētājs. lar. 100 3 produkta uzturvērtība: eredēia vērtība a\n1968 1u/ u68 kcal, tauki 160 „tostarp piesātinātās taukskābes 7,3 g, oglhidrāti 70,2 g, tostarp cukuri 19,5 g, šķiedrvielas 2.1 g, olbaltumvielas 9,1 g, sā0{39. ieteicams\nlīdz: skatit uz iepakojuma, uolabāt sausā vietā. ražots lietuvā % ipaša rimi pasutījuma. miltu izcelsme: £5. izplatītājs latvijā: sia rimi latvia, a. deglava iela 161, ”*\nriga, lv-1021. bezmaksas tālrunis atsauksmēm latvijā: 80000 180. a\n- j „ m\nh br\n4 «0 :\n\n'];2;2;['iebiezināts piens ar cukuru', 'piens'];['piens', 'piens'];2;0;0;['piens', 'piens'];[];[]
n22;20;21;90;['pilngraudu kviešu milti', '78g', 'rivētā mocarella', 'piens', '8g', 'rivēts ementāl siers', 'piens', 'kaltētu tomātu gabaliņi', '7g', 'linsēklas', '6g', 'extra virgin olīveļļa', '4g', 'sezama sēklas', '3g', 'jūras sāls', 'raugs', 'mieža iesala ekstrakts', 'provansas garšaugi', '0', '3g'];['- ķi\ntomātu 8 mocarellas 4\nā eee ee enneneeeesue t nenee den: zoo me a\njr pilnoraudu sausmaizītes ar extra vinci ollveju {60} 2}\nši tas ilngraudu kviešu milti {78g**}, rivētā mocarella ”\n« s g"} rivēts ementāl siers {piens}, kaltētu tomātu gabaliņi j\n| ant linsēklas {6g**}, extra virgin olīveļļa {4g**}, sezama sēklas /\nņī va sāls, raugs, mieža iesala ekstrakts, provansas garšaugi 4\n: "2 100g produkta ražošanai. v »\n.* vidēja uzturvērtība | - 100 g mērv.\nenerģetiskā vērtība ——————  1716kj/409kaal āke 97\naaratik m m —138..\ntostarp piesātinātās taukskābes ——— 3/79 | -\ndi odlhidāti m 508\ntostarn eiebieei 1a\n\n'];4;4;['rivētā mocarella', 'piens', 'rivēts Ementāl siers', 'piens'];['mocarella', 'siers', '8 mocarellas', 'piens'];3;1;1;['mocarella', 'siers', 'piens'];['piens'];['8 mocarellas']
n23;12;11;36;['rudzu milti', 'miežu graudi', 'cukurs', 'saulespuķu sēklas', 'rudzu iesals', 'tīrkutūra', 'piens', 'pienskābās baktērijas', 'kviešu klijas', 'sāls', 'ķimenes'];['". rupimazem "4\nds argruūdina\nm argraudiem j} |\npi avi mr a na\n{7} satamvotabezraugai = |\npeļiks } 3 2 j 4 n 1}\nomu  *\neee o snn 4751001 1263548| | 1 n m\n- : {% še | / k\n} a : mē n " 2 4 s\n\n'];2;0;['tīrkutūra', 'piens'];[];0;2;0;[];['tīrkutūra', 'piens'];[]
n24;36;36;87;['kviešu milti', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators e322', 'sojas', 'nehidrogenētas augu eļļas', 'palmu', 'saulespuķu', 'cukurs', 'auzu milti', 'baltā šokolāde', 'cukurs', 'pilnpiena pulveris', 'kakao sviests', 'vājpiena pulveris', 'emulgators e322', 'sojas', 'aromatizētājs', 'tumšā šokolāde', 'cukurs', 'kakao masa', 'glikozes sīrups', 'kakao sviests', 'emulgators e322', 'sojas', 'glikozes', 'fruktozes sūrups', 'olu pulveris', 'sāls', 'irdinātāji', 'e450', 'e500', 'aromatizētāji'];['i ā j » sia —\ns {\n, j\n5 |\n: j : s v , am č cari\na ā : ā 5 : - da clra īt , cl un na pār aula 51 io {pi āķ irdenu\ndetud enakaiuma atvēršanas izlietot 7 cd su laikā. uzglabš! sausā, no saules a uab „rim lietava” saaudes a 6 āā\nm cestttood vietā. ražots nīderlandē pēc īpaša pasūtījums, sokolādes izcelsme: es. izplatītājs\n: ās: wa: imi latvia, a. deglava iela 19\', « lv-1021. bezmaksas tālrunis\nnes on ra 80000 180. ā\nad ee\n—čččč — -\nt ooo s "a\n\n'];5;1;['piena šokolāde', 'pilnpiena pulveris', 'pilnpiena pulveris', 'vājpiena pulveris', 'olu pulveris'];['aula'];0;5;1;[];['piena šokolāde', 'pilnpiena pulveris', 'pilnpiena pulveris', 'vājpiena pulveris', 'olu pulveris'];['aula']
n25;32;32;46;['kviešu milti', 'siers', 'piens', 'kalcija hlorīds', 'baktēriju tīrkultūra', 'pārtikas krāsviela annato', 'margarīns', 'augu tauki', 'palmu eļļa', 'augu eļļa', 'rapšu eļļa', 'emulgatori e471', 'saulespuķu lecitīns', 'skābuma regulētājs citronskābe', 'krāsviela beta karotīns', 'olu masa', 'cukurs', 'rapšu eļļa', 'garšvielu maisījums', 'kaltēti dārzeņi', 'burkāni', 'kurkuma', 'dilles', 'pētersīļi', 'sīpoli', 'paprika sarkanā', 'raugs', 'ķirbju biezenis', 'sezama sēklas', 'sūkalu pulveris', 'sāls', 'rudzu milti'];[': kviešu milti, sie } {pie m\n| tīrkultūra, pārtikas krāsvielalannāi š aa\naugu eļa {rapšu dļa}, € c\nregulētājs citronskābe, krās\n|4 da. garšvielu maisījums {kaltēti dārzeņi {burkāni, kurkuma, diles f\n—-. s | 43 kcai, tauki 28.8 g, no\na | |29 0 drāt 3209\n. m o sk | j t | w ā\n\n'];4;1;['piens', 'baktēriju tīrkultūra', 'olu masa', 'sūkalu pulveris'];['tīrkultūra'];1;3;0;['tīrkultūra'];['piens', 'olu masa', 'sūkalu pulveris'];[]
n26;26;26;97;['kviešu milti', 'cukurs', 'margarīns', 'palmu eļļa', 'rapšu eļļa', 'ūdens', 'emulgatori e322', 'sojas lecitīns', 'un e471', 'sāls', 'skābuma regulētājs e330', 'aromatizētājs', 'krāsviela e160a', 'ūdens', 'olas', 'raugs', 'invertcukurs', 'emulgatori e322', 'sojas lecitīns', 'un e471', 'pilnpiena pulveris', 'fermentēti kviešu milti', 'sāls', 'miežu iesala milti', 'kviešu iesala milti', 'aromatizētājs'];[' {alergēni ir norādīti slīprakstā}: kviešu milti, a\ncukurs, margarīns {palmu me, rapšu eļa, ūdens, emulgatori aka\ne322 {sojas lecitīns} un e471, sāls, skābuma regulētājs e330,\npiektais krāsviela e160a}, ūdens, olas, raugs, invertcukurs, %\ns muga a e322 {sojas lecitīns} un e471, pilnpiena pulveris, fermentēti }\nkviešu milti, sāls, miežu iesala milti, kviešu iesala milti, aromatizētājs.\npaziņojums par uzturvērtību {100 g}: enerģētiskā vērtība\n1841 kj /440 kcal, tauki 21 g, -tostarp vargaree taukskābes 9,63 g,\nogļhidrāti 55 g, -tostarp cukuri 0,7 g, šķiedrvielas 2,3 g,\nolbaltumvielas 6,4 g, sāls 0,90 g.\n|\nneto daudzums: 85 g c\npie temperatūras ne augstākas par 25 c izlietot līdz:\n\n'];2;3;['olas', 'pilnpiena pulveris'];['pilnpiena pulveris', 'olas', 'e471'];2;0;1;['pilnpiena pulveris', 'olas'];[];['e471']
n27;54;54;225;['kviešu miiti', 'margarīns', 'palmu tauki un eļļa', 'ūdens', 'emulgators taukskābju monoglicerīdi un diglicerīdi', 'sāls', 'konservants kālija sorbāts', 'skābuma regulētājs citronskābe', 'aromatizētājs', 'krāsviela karotīni', 'augu tauku putukrējums', 'ūdens', 'pilnīgi hidrogenēti augu tauki un eļļas', 'palmu', 'rapšu', 'saulespuķu', 'kukurūzas', 'sojas', 'cukurs', 'stabilizētāji', 'sorbīta sīrups', 'ciete', 'piena olbaltumvielas', 'emulgatori', 'taukskābju monoglicerīdu un diglicerīdu monoacetilvīnskābes un diacetilvīnskābes esteri', 'sojas lecitīni', 'taukskābju monoglicerīdu un diglicerīdu pienskābes esteri', 'sāls', 'aromatizētājs', 'krāsviela beta', 'karotīns', 'ūdens', 'kukurūzas ciete', 'garšviela', 'cukurs', 'sāls', 'sīpolu pulveris', 'aromatizētāji', 'satur krāsvielu paprikas ekstraktu', 'ķiploku pulveris', 'garšas pastiprinātāji', 'mononātrija glutamāts', 'dinātrija 5`ribonukleotīdi', 'skābuma regulētājs citronskābe', 'maltodekstrīns', 'tomātu pulveris', 'pilnīgi hidrogenēta rapšu eļļa', 'krāsviela paprikas ekstrakts', 'antioksidants rozmarīna ekstrakts', 'sāls', 'cukurs', 'kaltēti tomāti', 'kaltēts baziliks', 'aromatizētājs bazilika'];[': m as\nā pi  — o - i eļļa, pri emulgators taukskābju monoglicerīdi un bj * | a\na —— uigleridi, sals, konservants kālija sorbāts, skābuma regulētājs citronskābe, aromatizētājs, am ua\nj <} krāsviela karotīni}, augu tauku putukrējums {ūdens, pilnīgi hidrogenēti augu tauki un olas ., = |\n——— {palmu, rapšu, saulespuķu, kukurūzas, sojas}, cukurs, stabilizētāji {sorbīta sīrups, ciete}, piena a m\nau olbaltumvielas, emulgatori {taukskābju monoglicerīdu un digliceridu monoacetilvīnskābes un b jā\nm diacetilvinskābes esteri, sojas iecitīni, taukskābju monoglicerīdu un diglicerīdu pienskābes esteri}, 9\n—————— sāls, aromatizētājs, krāsviela beta-karotīns}, ūdens, kukurūzas ciete, garšviela {cukurs, sāls, sīpolu | ē\nm pulveris, aromatizētāji {satur krāsvielu paprikas ekstraktu}, ķiploku pulveris, garšas pastiprinātāji a4 v\n{mononātrija glutamāts, dinātrija 5 ribonukleotīdi}, skābuma regulētājs citronskābe, maltodekstrīns, | 2805\n— — tomātu pulveris, pilnīgi hidrogenēta rapšu eļļa, krāsviela paprikas ekstrakts, antioksidants = 2:\n—  — rozmarīna ekstrakts}, sāls, cukurs, kaltēti tomāti 0,28%, kaltēts baziliks 0,14%, aromatizētājs 48\nbazilika. varsaturēt olu, zemesriekstu u.c. riekstu daļiņas. uzglabāt: 18+/-5?c temperatūrā. ai\nww 100 g produkta uzturvērtība: enerģētiskā vērtība — 2148 kj/ 515 kcal, tauki -32g {tostarp | :\n—  piesātinātāstaukskābes= 199}, ogļhidrāti—50g {tostarp cukuri-3,44}, olbaltumvielas 6,7 g, | -”\nsāls — 2,3 g. * ieteicamā deva vidusmēra pieaugušajam {e2400 k} vai 2000 kcal}. **1 porcija satur a m a -\nui: aptuveni $ g. šis iepakojums satur = 35 porcijas. ražotājs: sia „orkla latvija , miera iela 22, j | }\n„ - rīga,lv-1001, latvija. tālrunis atsauksmēm +37167080700. www.staburadze.lv ā š ž\nls uzporiu 4 ie\n* mm  orkla 11} || |} | 11 mo\nie fr kra | rtviica , %* 0\n\n'];1;7;['piena olbaltumvielas'];['olas', 'piena', 'olu', 'ē m pulveris', 'karotīni', 'deva', 'miera'];1;0;6;['piena'];[];['olas', 'olu', 'ē m pulveris', 'karotīni', 'deva', 'miera']
n28;34;34;87;['kviešu milti', 'margarīns', 'augu eļļa', 'palmu', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgātori', 'sojas lecitīns', 'taukskābju monoglicerīdi un diglicerīdi', 'konservants', 'kālija sorbāts', '<', 'skābuma regulētājs', 'citronskābe', 'dabīgs aromatizētājs', 'sviesta', 'pārtikas krāsviela', 'beta karotīns', 'rapšu eļļa', 'siers', 'govs piens', 'pārtikas sāls', 'konservants', 'e252', 'siera ieraugs', 'ferments', 'renīns', 'pārtikas krāsviela', 'beta karotīns', 'olu masa', 'sāls', 'kartupeļu ciete', 'cukurs'];[': kviešu milti, margarīns {augu eļļas 80% tootekoltta/10} ertia uz us\na" {palmu, rapšu}, ūdens, pārtikas sāls, emulgātori: {sojas = |99\n! še lecitīns, taukskābju monoglicerīdi un diglicerīdi}, enerģētiska vērtība/ energeetiline vāārtus / energi\na. konservants: kālija sorbāts {<1%}, skābuma regulētājs: | vertē/ energy ga\n- citronskābe, dabīgs aromatizētājs: sviesta, pārtikas = ar easvad/ rie alailfat a\na} krāsviela: beta karotīns}, rapšu eļļa, siers {14%} {govs |\n— piens, pārtikas sāls, konservants. e252, siera ieraugs, — | tostarp piesātinātās taukski\n- sa, sāls {2%}, kartupeļu ciete, cukurs. var. —\ni kā aae a mana niem tiek — a :\nzemesriekstu daļiņas un sezama seklas. uzglabā = ta |\nbrr tuk\nļ 4.\n| : .\n\n'];6;6;['sviesta', 'siers', 'govs piens', 'siera ieraugs', 'renīns', 'olu masa'];['sviesta', 'karotīns', 'siers', 'piens', 'siera', 'govs'];4;2;2;['sviesta', 'siers', 'piens', 'siera'];['renīns', 'olu masa'];['karotīns', 'govs']
n29;24;24;75;['rīsi', 'ūdens', 'kartupeļi', 'sīpoli', 'tomātu pasta', 'liellopu gaļa', 'burkāni', 'sāls', 'sausais garšaugu buljons', 'satur garšas pastiprinātāju nātrija glutamātu', 'krāsvielu e100', 'rapšu eļļa', 'selerijas', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'satur rozmarīna ekstraktu', 'liellopu gaļas pulveris', 'maltodekstrīns', 'ķiploki', 'cukurs', 'skābuma regulētājs', 'citronskābe', 'garšvielas'];[': rīsi, ūdens, kartupeļi, sīp,\nz liellopu gaļa 7%, burkāni, sāls, sausais\nē vir garšas pastiprinātāju nātrija a\n- e100}, au eļļa, selerijas, sausa\n"{liellopu buljons, liellopu tauki {satur | n d j\nm „liellopu ga ās pulveris, maltode ri\n"  rurerareduētājs {citronskābe}, s. _ ā\nprodukta vidējā uzturvēi ss sl\nsdr aa mam\nēherģētiskā vērtība, kj/kcz x\nģ tiskā vērtība, kj/kc pā\ntauki, g , 00\n_—,},š - o\nuk tostarp piesātinātās tai >\nriba yo}\nogļhidrāti, g\n4 —. -\n_iarpauku”\n\' o\'baltumviela\n_—\ni —\n. {a\npašn mp }\n\n'];5;3;['liellopu gaļa', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];['liellopu gaļa', '„liellopu ga', 'e100'];2;3;1;['liellopu gaļa', '„liellopu ga'];['liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];['e100']
n30;24;24;94;['rīsi', 'ūdens', 'kartupeļi', 'sīpoli', 'tomātu pasta', 'liellopu gaļa', 'burkāni', 'sāls', 'sausais garšaugu buljons', 'satur garšas pastiprinātāju nātrija glutamātu', 'krāsvielu e100', 'rapšu eļļa', 'selerijas', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'satur rozmarīna ekstraktu', 'liellopu gaļas pulveris', 'maltodekstrīns', 'ķiploki', 'cukurs', 'skābuma regulētājs', 'citronskābe', 'garšvielas'];['a add āā\n—— -\n, " —— a = r pe = m 3 e- a a . m”\ni ed i a 6 <\n"< — sz erš "= * : š a m * +\nve ā ā i , : : a . ne ma a . „m\nm oo — 228 n\n. meastavdaļasštīsi, ūdens, kartupeļi, sīpoli\n3 arona gaļā 1%, burkāni, sāls, sausais | m\nre  balur garšas pastiprinātāju nātrija alu!\na 7 bu ela, selerijas, sausais lie : \' *\nliellopu g: lieliopu tauki {satur rozi a -—-—-—--— di «\nsalonu ga lētās teu, maltodekst  _”s—=—_—č\nbuma regulētājs {citronskābe}, ga ai —. 0\nsr\n} 10starp cukuri š\nobatum\naltumvielas «\nd} sāls 3\nilā n : ā a\n\n'];5;4;['liellopu gaļa', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];['liellopu', 'sausais lie g', 'gaļā', 'lieliopu'];2;3;2;['liellopu', 'lieliopu'];['liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];['sausais lie g', 'gaļā']
n31;29;29;63;['sīpoli', 'marinēti gurķi', 'gurķi', 'cukurs', 'sāls', 'etiķis', 'sinepes', 'aromatizētājs', 'cūkgaļa', 'ūdens', 'tomātu pasta', 'žāvēta desa', 'liellopu gaļa', 'cūkgaļa', 'cūku tauki', 'garšvielas', 'sinepes', 'aromatizētājs', 'kviešu milti', 'cukurs', 'olīvas', 'sāls', 'sausais liellopu gaļas buljons', 'sausais garšaugu buljons', 'satur garšas pastiprinātāju nātrija glutamātu', 'rapšu eļļa', 'skābuma regulētājs', 'citronskābe', 'melnie pipari'];[': sīpoli, marinēti gurķi {gurķi, cuku\nirsinepes, aromatizētājs}, cūkgaļa 15,8%, ūd\nja ipasta, žāvētādesa 5,2% {liellopu gaļa, cūka n ā\nnē garšvielas, sinepes, aromatizētājs}, kvie: j ļ :\nolīvas, sāls, sausais liellopu gaļas buljons, : } } ģ\n- buljons {satur garšas pastiprinātāju n o -\n rapšueļļa, skābuma regulētājs {citronskā o\niespējams var: |\na a\n= =d .\nnostarp cukuri, g t\nolbaltumvielas, g |\nstr www s: . sw\nražotājs, orkla eesti as, pēltsamaa factory, | ———\ntallinna mnt 1,48103, poltsamaa, igaunija. ss\n\n'];6;5;['cūkgaļa', 'žāvēta desa', 'liellopu gaļa', 'cūkgaļa', 'cūku tauki', 'sausais liellopu gaļas buljons'];['liellopu gaļa', 'gaļas', 'cūkgaļa', 'cūka', 'cuku'];4;2;1;['liellopu gaļa', 'gaļas', 'cūkgaļa', 'cuku'];['žāvēta desa', 'cūkgaļa'];['cūka']
n32;5;5;37;['kūpinātas reņģes', 'clupea harengus membras', 'baltijas jūra', 'rapšu eļļa', 'pārtikas sāls'];['īļā u ,\ndalās — ā ——\nav re sa\nbas t , 4 a po } : = jss t\n{s pien n ļ i a\n„vi ils ķ\nm "ba sb d\n: v\n| =\na\nm ,\n11750616"000258\' m\nnas uzglabāt ledusskapī neiiga\n< ,\n" a\nje\n\n'];2;1;['kūpinātas reņģes', 'Clupea harengus membras'];['pien'];0;2;1;[];['kūpinātas reņģes', 'Clupea harengus membras'];['pien']
n33;3;3;112;['tuncis', 'olīveļļa', 'pārtikas sāls'];[': tuncis”**, olīveļļa, pārtikas sāls. izplatītājs: sia j\nnr olwa 2 oliwek, s6l. dystrybutor: bolton polska sp. z 0.0., ul. domaniewska |\nawemnugvop: eoc-jij im ctpmeiolubh e001, rp. coģuna 1839, yj1. "yenonenuko |\nietribuitor: orbico srl - str. nicolae lorga, nr. 28-30, clādirea c2, sector 1,\n{e16022 120. cd tunāk v olivovēm ieeritikm pm, ,\na renublika. go tuniak v olivovom olēji. zloženie: tuniak pruhovany””, ā\n"706 bratislava, slovenskā republika. €9 tyhelļb b iztika\nt } 1pox0nohhomy bkvtm peace 044}2064692. **euthynnus —\nykp {042, m. kui8, npob. hoboone4deplcbkmh 2, nr > —-\ntzez 38omuten / produs de / ražotājs / tootja / vyrobce / araa oo ——\ntel. +39031779111. j\n} "m ģ x\nr in nn ā:\nla « — € km4 | y open here j -\n3 ik\n\n'];1;2;['tuncis'];['tuncis”', 'e001'];1;0;1;['tuncis”'];[];['e001']
n34;21;21;269;['ūdens', 'tomāti', 'jogurts', 'rapšu eļļa', 'tomātu pasta', 'krējums', 'sīpoli', 'cukurs', 'ingvera biezenis', 'modificēta ciete', 'piena olbaltumvielas', 'sāls', 'koncentrēta citronu sula', 'garšvielas', 'kokosriekstu eļļa', 'aromatizētāji', 'ķiploki', 'koriandra lapas', 'sierāboliņa lapas', 'sarkanais čili', 'paprikas ekstrakts'];[', u li — a „x * x\ngs jogurt 144%, rapsiēli, ūdens, tomāti 22,6%, jogurts 144%, rapšu daljs, vanduo, poda ja nea — —\nt} ur to, sībul, eļļa, tomātu pasta 6,2%, krējums 5,7%, 144%, rapsu alēju nmāoija — —” ./—\nmeiee 204 modifitseeritud sīpoli, cukurs, ingvera biezenis 2,6%, grietinēle 57%, srogina a —\njr, <00, sidrunimahla modificēta ciete, piena olbaltumvielas, īrē ls im č\nm not, kookospēhkliēli, sāls, koncentrēta citronu sula, garšvielas, dauna aspa ire\n»%1 ! mivdned kūlislauk, kokosriekstu eļļa, aromatizētāji, ķiploki, a onū ieriu ki ā\n< "alu punane koriandra lapas, | a at a ž sā, muirēj ab : ā\n— na . k lunisalane sarkanais čili, paprikas ekstrakts. 10{ g ru _\nteu vse tus 58. k produkta uzturvērtība: enerģētiskā maistingumas ae eee | "m\naaa et ilēstunud vērtība 586 kj/ 141 kcal, tauki 9,0 g, tostarp malsbl kursa\n«in wovesikud rns sales cal, hidrāti iebalai 904 a nīņ\n"i brii či u piesātinātās taukskābes 2,0 g, 1% k 4d of anlam fr . 2\ns00 paim m } 8 9 120 g, tostarp cukuri 7,5 g, ar ž g sedis .\nkit s ru 08 g, olbaltumvielas 2,5 g, sāls 1, } druska 144. pr " m\nbad pie doku mt ieteicams līdz: skatīt uz iepakojuma. pakuotēs lini da m4 m\na nest uzglabāt vēsā un sausā vieta. mr do atdeņm pag, 4 a j\nn tesmii bigias iepakojuma atvēršanas izlietot 3 dien per 3 der ž al = 7\ndl rare bet lēkā. pēc avērlanas a eo o\na 308 ha : nažots beļģijā pēc īpaša pasi uab a al} :_->očvoģo 9 enģ:6sēsaņmķs=sesee»\nua era resti, „platītājs davij p sia u ā retu iris ae note\ndeglava iela 161, rīga, lv ša, apļa 4\nbezmaksas tālrunis atsauksmēm latvija\n80000 180,\nu — —\n\n'];3;5;['jogurts', 'krējums', 'piena olbaltumvielas'];['jogurts', 'krējums', 'piena', 'jogurt', 'vieta'];3;0;2;['jogurts', 'krējums', 'piena'];[];['jogurt', 'vieta']
n35;15;15;0;['auzu pārslas pilngraudu', 'cukurs', 'zemesrieksti', 'pilngraudu milti', 'kviešu', 'rudzu', 'sviests saldkrējuma', 'karamele', 'cukurs', 'piens', 'palmu un basijas kodolu eļļa', 'glikozes sīrups', 'saulespuķu eļļa', 'kefīrs', 'sāls'];[", a\n' um\n\n"];3;0;['sviests saldkrējuma', 'piens', 'kefīrs'];[];0;3;0;[];['sviests saldkrējuma', 'piens', 'kefīrs'];[]
n36;19;19;161;['kviešu milti', 'cukurs', 'augu tauki mainīgās proporcijās', 'palmu', 'palmu kodolu', 'kokosriekstu', 'saulespuķu', 'kviešu ciete', 'glikozes sīrups', 'kakao pulveris ar samazinātu tauku saturu', 'irdinātāji', 'e503', 'e500', 'sāls', 'vājpiena pulveris', 'emulgators e322', 'saulespuķu', 'sūkalu izstrādājums', 'skābuma regulētājs e500'];['f . ž\n| ba\nšā pi{ i da rvietinia ilta \'l ja\n+ hh : ar j tauku saturu 4%, irc f e503, e50 jrupas, liesi kakave milteliai 4%, tešlos ldin\n2. alille}, f jiena pulveris, emulgators e322 {sai puķu}, sūkali n pilno milkeļu, emulsiklis\nā da pāhkliti ms, skābuma reaulētājs e500. var saturētriekstu, sojas un olt reguliuojanti medžiaga e\nanergiasisaldus | daļiņas. 100 g produkta uzturvērtība: enerģētiskā vērtība 1965 k} iy „100 g produkto istingum\nlast ur vhappec 168 «ca uk 8{ \' tostarp piesātinātā: ft rskāk 101 j, 00 fa "ara ara ta er re\naa dained 30 g. salsa o ieteicams līdz: katīt uz drista 0,4 g. geriausjas iki: žr ant pakuotēs laik\nparastavamist sālitada no tiešiem saules stariem. pēc atvēršanas anāvei nuo tiesloginig saulēs spinduliy. atidari> "ap\ni rm ateimuset | redkā radosvādā picipas ām pasitjuma ilmārs s | apple jap ieleto er 27\nnounē rimi a. , nīga, lv-1021. bezmaksas talrun etuvoje: uab „rimi liet apaucos s\nr es \' atsauksmēm ar 80000 180. nemokamas klien "2\n\na _- i —\n\naw ee\n\n'];2;3;['vājpiena pulveris', 'sūkalu izstrādājums'];['f jiena pulveris', 'ā da', 'sūkali'];2;0;1;['f jiena pulveris', 'sūkali'];[];['ā da']
n37;5;5;96;['saldais krējums', 'stabilizētāji', 'karagināns', 'polifosfāti', 'nātrija fosfāti'];[': saldais krējums, stabilizētāji: karagināns,\npolirosiati, nātrija fosfāti. izlietot līdz un ražošanas din datu a j\niepakojuma. pirms putošanas atdzesēt +2 c... + €\n{ed rēēsk koor 35%. kērapastriseeritud. koostisosad: 3}\nrūēsk koor, stabilisaatorid: karmageen, polifosfaat, dil m\nnaatriumtosfaadid. kēlblik kuni ja tootmise kuupdev. vt 1\npeendī tkl ba lasa ennevahustamist +27... +44 c -\naa ae 35%. apdorota itin aukštoje temperatūroje. :\nsudedamosios me stabilizatoriai: karageninas,\npolifosfatai, natrio fosfatai. tika vartotī ikiir perma data:\n1, ant pakuotes. prieš plakantatvēsinkīte +2 l.. +470\nutmbkm 35%. yrbrparacrepm30bahhoe. {0ctb: }\njimbkm, cta6ww3atopbl: kapparmhah, nonmpocbatbi jā \'\nbocbarol harpus. ynotpedvīb {0 m lara npov3bojcīa: i ss\nna „rare lonon renurihmem ol "rr\n\n'];1;2;['saldais krējums'];['saldais krējums', 'perma'];1;0;1;['saldais krējums'];[];['perma']
n38;5;5;82;['saldais krējums', 'stabilizētāji', 'karagināns', 'polifosfāti', 'nātrija fosfāti'];[': saldais krējums, stabilizētāji nu h\nkaragināns, polifosfāti, rr” fosfāti. izlietot līdz un a\nražošanas datums: skatīt uz iepakojuma, pm .\n{ed rēēskkoor 10%. a — koostisosad: "\nrēēsk koor, stabilisaatorid: karmrageen, polūfosfaat,\nnaatriumfosfaadid. kēlblik kuni ja tootmise kuupdev. vt\nkendilt. < ij\na grietinēlē 10%. apdorota itin aukstoje temperatūroje. "a\nsudedamosios dalys: grietinēlē, stabllizatoriai: -\nkarageninas, polifosfatai, natno fosfatai, tinka vartoti iki ir \'\npa minimo data: žr. ant pakuotēs. . -\n| fd cimbkm 10%. jrībrparactep/30bahhoe. cocrab: —\njimbkm, cta6ww3atopbi: kapparvēāa, nonm$o0cpatbl, d\n{bocpaībi hatpma. ņnorpe6wīb 40 m mara npov3bojctba:\nai r nie derīguma temina/\n\n'];1;1;['saldais krējums'];['saldais krējums'];1;0;0;['saldais krējums'];[];[]
n39;10;10;165;['zemesrieksti', 'cukurs', 'medus', 'saulespuķu eļļa', 'zemesriekstu eļļa', 'sāls', 'kartupeļu ciete', 'maltodekstrīns', 'biezinātājs', 'ksantāna sveķi'];[': zemesrieksti {83%}\noesraviajas: 6}, cukur 5%},\nsaulespuķu eļļa, zemesriekstu eļļa, sāls {1%} rartāpēlu ciete\nmaltodekstrīns, biezinātājs {ksantāna sveķi}. var. brīdinājums: mazi bērni var aizrīties ar riekstiem.\nražots dānijā. zemesriekstu izcelsme.\n—  -  .......ņņņņņ{{ņ{ņņ{ - -\n, uzturvertība/\nn roasted, salted peanuts with honey nutrition value/\nss ši\nretients: peanuts {83%}, sugar, noney s artta oil, mmijebaa lehhocto\n2: trin, thickener {xantan\n"4 gua, salt {1%} m tus iaroīnas sal children can  enerģētiskā vērtība/ energy/ 34epre*"\nchoke * 9y contain rem tenmerk, peanut origin is not eu. luehhoctb {kj/k x / kcal/kkari\nk a m anaklc c mejomaā tauki/ fat/ upei {9/1},\nru mkapehbin conehbim apax tostarp piesātinātās taukskābes or\nco f {5%}, nogconhe4hoe macjno, of which saturates/ b tom «moi*\nananass apaxvc {83%}, caxxap., 10} kaproe/ībiblli kpaxmaji, xmphbie kmcnotbi {g/r}\nanu š0e macno, conb | {kcakraoban kamemb}. morym oohidrāti/ carbohvarate p7\nre dk s ctpmh, garycīmte}1b k ve 3ha4ehma nmlliļebom j kuri/ of which sugē*\nwe ua ba : ex0b. cpelbr p tc 022/2011}: tostarp cukuri/ of whic\nham m *l 1actmlibi op pa marho tpnu va e i” emu uveje caxapa {0/}\n\n'];1;1;['medus'];['mazi'];0;1;1;[];['medus'];['mazi']
