Levenshtein; Jaccard; Overlap
v77;2459;0.02570694087403599;0.625
v78;1444;0.0;0.0
v79;2616;0.001968503937007874;0.14285714285714285
v80;1060;0.07784431137724551;0.7222222222222222
v81;924;0.043478260869565216;0.5
v82;1068;0.037037037037037035;0.35
v83;691;0.0;0.0
v84;1009;0.0903954802259887;0.8888888888888888
v85;1471;0.04198473282442748;0.55
v86;1163;0.0449438202247191;1.0
v87;778;0.0;0.0
v88;741;0.04285714285714286;0.5
v89;674;0.047619047619047616;0.5
v90;140;0.2222222222222222;0.48484848484848486
v91;938;0.025510204081632654;0.5
v92;829;0.006535947712418301;0.07692307692307693
v93;650;0.15873015873015872;0.7142857142857143
v94;1873;0.10588235294117647;0.75
v95;2306;0.055865921787709494;0.5555555555555556
v96;1729;0.04743083003952569;0.6666666666666666
v97;1421;0.08333333333333333;0.6896551724137931
v98;1200;0.09433962264150944;0.6896551724137931
v99;2439;0.04555808656036447;0.7142857142857143
v100;1538;0.08064516129032258;0.6451612903225806
